date,open,high,low,close,volume
2025-09-02,47.3,47.86,47.04,47.41,9510322
2025-09-03,47.32,48.51,47.3,47.5,8380235
2025-09-04,47.6,47.685,46.31,46.69,10633070
2025-09-05,46.72,47.17,46.5,47.14,8227251
2025-09-08,46.65,46.805,45.85,46.72,10005640
2025-09-09,46.74,47.52,46.73,47.23,7891022
2025-09-10,47.0,47.44,46.78,47.15,8513729
2025-09-11,47.38,48.19,47.2201,47.54,9875815
2025-09-12,47.42,47.9,46.185,46.2,11896410
2025-09-15,46.32,46.73,46.0,46.35,9669495
2025-09-16,46.05,46.843,46.04,46.34,9050607
2025-09-17,46.24,46.8,46.01,46.15,14352600
2025-09-18,46.1,46.3152,45.515,45.6,18963910
2025-09-19,45.68,45.93,45.0,45.02,28356210
2025-09-22,45.03,45.54,44.96,44.98,11546030
2025-09-23,44.92,45.59,44.71,44.91,16358140
2025-09-24,44.75,44.86,44.05,44.16,19374160
2025-09-25,44.18,44.46,43.19,43.41,21345590
2025-09-26,43.96,44.135,43.25,44.12,14999610
2025-09-29,44.0,44.675,43.785,44.15,20722430
2025-09-30,44.18,45.53,44.12,45.1,35920410
2025-10-01,46.0,48.58,45.64,47.43,36615440
2025-10-02,47.09,47.41,45.66,45.73,27612180
2025-10-03,45.2,46.175,44.66,45.45,17893950
2025-10-06,45.35,45.91,44.87,45.14,19162530
2025-10-07,45.03,45.17,44.25,44.66,13018130
2025-10-08,44.74,44.9,44.455,44.54,10822950
2025-10-09,44.82,45.19,44.53,44.68,13379380
2025-10-10,44.78,44.78,43.77,43.96,14024950
2025-10-13,43.68,44.229,43.29,43.54,15509110
2025-10-14,43.43,43.9,43.2745,43.8,16805620
2025-10-15,43.78,44.235,43.4,43.61,11941500
2025-10-16,43.73,43.93,43.22,43.39,12922140
2025-10-17,43.28,43.66,43.105,43.63,13966190
2025-10-20,43.66,43.98,43.51,43.59,11511460
2025-10-21,43.595,44.58,43.34,44.54,16468540
2025-10-22,44.59,45.225,44.33,44.39,14316510
2025-10-23,44.35,44.35,43.515,43.83,15379150
2025-10-24,43.93,43.935,43.575,43.83,10105880
2025-10-27,43.82,43.82,43.21,43.39,21380710
2025-10-28,43.39,43.39,42.75,42.82,17960550
2025-10-29,42.82,43.15,42.52,42.6,16147100
2025-10-30,43.27,45.82,43.195,45.62,41931630
2025-10-31,45.47,46.5,45.2,46.07,21482910
